,Nombres,Apellidos,id,Tipo de id,Genero,Telfono,Correo,Tipo de sangre,Edad,Fecha Nacimiento,Pais de Nacimiento,Direccion de Residencia,Departamento de Residencia,Municipio de Residencia,Codigo Postal,Altura,Peso,Tien Hijos,Cantidad de Hijos,Ha tenido hijos no nacidos,Nivel de educacion,Profesion,Tipo de estudio,Nivel de ingles,# Idiomas que domina,Estado Civil,Estrato Social,Tiene Vehiculos,Cantidad de Vehiculos,Tipo de Vehiculo,Propiedad de vivienda,Tipo de Vivienda,Estado de la vivienda,Tiene agua potable,Vivienda compartida,Cantidad de Habitaciones,Tiene EPS,Tipo de EPS,Religion,Grupo etnico,Estado Laboral,Tiene discapacidades,Tipo de discapacidad,Tiene Mascotas,Tipo de mascota,Cantidad de mascotas,Tiene libreta militar,Tipo de alergias,Ha sufrido de escasez de alimentos,Razon de la escasez de alimentos
0,Valentina Iris,Leal Agudelo,718166330,CC,F,3202899125,val@hotmail.com,A-,40,1983-12-19,España,Cl. 4ª # 9-8, Antioquia,Yarumal,050346,1.62,69,False,0,False,N/A,N/A,N/A,C2,4,Union Libre,4,True,2,varios,Arriendo,Apartamento,En Ruina,True,False,3,False,SISBEN,Satanista,Negro,Desempleado,False,N/A,False,N/A,0,N/A,Detergentes Ropa,True,Familia muy grande
1,Gabriela Angélica,Cardona Londoño,838423565,CE,F,3028712045,gab_cardona7@outlook.com,B-,76,1947-03-31,Ecuador,Avenida carrera 173 # 9-8 Sur, Córdoba,Moñitos,236322,1.79,62,False,0,True,Tecnologo,Locutor de radio,Rural,C2,2,Casad@,2,False,0,N/A,N/A,internado,Otro,True,False,2,False,SISBEN,Musulman,Negro,Pensionado,False,N/A,False,N/A,0,N/A,Gluten,False,N/A
2,Omar Antonio,Guzmán García,898760842,CC,M,3244564321,omguz2@outlook.com,O-,34,1989-06-11,Colombia,Calle 75 # 2X-5, Bolívar,Soplaviento,135780,1.73,45,True,2,False,Tecnico,Fotógrafo,Particular,C2,mas,Union Libre,5,False,0,N/A,N/A,internado,Construccion Paralizada,False,True,otro,True,Salud Vida,Cristiana,Afrocolombiano,Desempleado,True,Psiquicas,False,N/A,0,False,Cosmeticos,True,Carencia de trabajo
3,Jhon Harol,Martínez Rodríguez,557399925,PaP,M,3335620130,jhon_mar8@hotmail.com,B-,48,1975-11-24,Ecuador,Cr. 105W Sur # 7-4 Este, Valle del Cauca,Guadalajara de Buga,763061,1.56,48,False,0,True,Tecnologo,Analista de gestión y organización,Urbana,A2,mas,Solter@,1,False,0,N/A,Propia,Casa,Abandono,True,True,4,False,SISBEN,Satanista,Negro,Desempleado,False,N/A,False,N/A,0,True,N/A,False,N/A
4,Edinson Roberto,Martínez Peña,899792033,CC,M,3209939481,edins_mar012@hotmail.com,O+,58,1965-12-19,Colombia,Avenida carrera 4ª # 51-11, Putumayo,Sibundoy,865015,1.72,61,False,0,True,Bachiller,Representante comercial,Urbana,A2,2,Separad@,3,True,2,moto,Arriendo,Apartamento,Construccion Paralizada,True,True,4,True,Sanitas,Musulman,Afroamericano,Desempleado,False,N/A,False,N/A,0,True,Detergentes Ropa,True,Perdidad de cultivo
5,Bibiana Cecilia,Ruiz Parra,58426300,CC,F,3231620437,bibianar3629@gmail.com,AB-,73,1950-07-13,Peru,Carrera 96 # 80-1 Sur, Sucre,Santiago de Tolú,708526,1.69,62,True,3,False,Tecnico,Psicólogo,Particular,C2,3,Separad@,2,False,0,N/A,N/A,Orden Religiosa,Abandono,False,False,3,True,Sanitas,Budista,N/A,Pensionado,True,Fisicas,True,Pez,1,N/A,Alimentos,False,N/A
6,Ana Patricia,Vásquez Cano,461180794,CC,F,3011529005,ana.vasqu@yahoo.com,O+,71,1952-08-29,Venezuela,Diagonal 93 # 3-40 Sur, Antioquia,Chigorodó,051408,1.97,48,True,1,True,Pregrado,Operador de máquinas de vapor y calderas,Particular,A1,3,Divorciad@,1,False,0,N/A,Familiar,Casa,Otro,False,False,1,True,Salud Vida,Musulman,Indigena,Pensionado,False,N/A,False,N/A,0,N/A,Gluten,True,Familia muy grande
7,Jhon Rafael,Molina Gómez,226175303,PaP,M,3011172222,jhon_mo318@gmail.com,A+,81,1942-12-27,Venezuela,Cr. 196V # 11-2, La Guajira,Villanueva,442013,1.58,81,False,0,False,Pregrado,"Empleado de servicios estadísticos, financieros y de seguros",Urbana,B2,4,Viud@,2,False,0,N/A,Arriendo,Casa,Construccion Paralizada,True,True,3,False,SISBEN,Budista,N/A,Pensionado,True,Psiquicas,True,Perro,2,False,Detergentes Ropa,True,Otro
8,Carolina Paola,Cardona Carmona,1163401339,CC,F,3053252730,car_car3@gmail.com,B+,79,1944-02-13,Colombia,Transversal 16 # 2-2,Barranquilla,Barranquilla,088692,1.86,49,False,0,False,Tecnologo,Director de recursos humanos,Rural,C2,3,Solter@,2,False,0,N/A,Arriendo,Apartamento,Abandono,False,True,otro,False,SISBEN,Maradoniano,Negro,Pensionado,False,N/A,False,N/A,0,N/A,N/A,False,N/A
9,Rosa Patricia,Cifuentes Pérez,174530015,CC,F,3198151054,rosacifu3015@hotmail.com,A-,24,1999-11-06,Colombia,Cr. 40D # 51-1 Este, Bolívar,Achí,138744,1.93,88,True,1,False,N/A,N/A,N/A,B1,2,Casad@,1,False,0,N/A,Propia,Casa,Contruida,False,True,3,False,SISBEN,Testigo de Jehova,Raizal,Empleado,True,Fisicas,False,N/A,0,N/A,Alimentos,False,N/A
